sequence	trait1	metadata_NSTI
Achromobacter_aloeverae-_-LC094463--_AVA-1_T	5378026.09751719	0.02534
Achromobacter_animicus-_-HE613448--_R-46662_T	6285821.89056375	0.0119
Achromobacter_anxifer-_-HF586508--_LMG_26857_T	6285821.89056375	0.00281
Achromobacter_deleyi-_-HG324053--_LMG_3458_T	6285821.89056375	0.01541
Achromobacter_dolens-_-HF586509--_LMG_26840_T	6285821.89056375	0.00281
Achromobacter_insuavis-_-HF586506--_LMG_26845_T	6667707.56358015	0.00491
Achromobacter_kerstersii-_-HG324052--_LMG_3441_T	6285821.89056375	0.01541
Achromobacter_marplatensis-_-HE613447--_R-46660_T	6667707.56358015	0.0119
Achromobacter_mucicolens-_-HE613446--_R-46658_T	6285821.89056375	0.014
Achromobacter_pestifer-_-HG324051--_LMG_3431_T	6285821.89056375	0.0175
Achromobacter_piechaudii-_-AB010841--_EY3860_=_ATCC43552_T	6285821.89056375	0.01921
Achromobacter_pulmonis-_-HE798552--_R-16442_T	6285821.89056375	0.0063
Achromobacter_ruhlandii-_-AB010840--_EY3918_=_ATCC15749_T	6285821.89056375	0.00905
Achromobacter_spanius-_-AY170848--_LMG_5911_T	6285821.89056375	0.01541
Achromobacter_veterisilvae-_-LT976503--_LMG_30378_T	5378026.09751719	0.00491
Acidaminobacter_hydrogenoformans-_-AF016691--_glu_65_T	3652277.45434623	0.185291
Acidaminococcus_hominis-_-OL617415--_NSJ-142T	2646417.75772265	0.06408
Acidaminococcus_intestini-_-AF473835--_ADV_255.99_T	2646417.75772265	0.07214
Acidianus_ambivalens-_-D85506--_DSM3772_T	2323040.64648806	0.10794
Acidianus_brierleyi-_-X90477--_DSM_1651_T	2323040.64648806	0.13251
Acidianus_infernus-_-D85505--_DSM3191_T	2323040.64648806	0.10649
Acidianus_sulfidivorans-_-AY907891--_JP7_T	2323040.64648806	0.13739
Acidibacter_ferrireducens-_-JX412366--_MCF85_T	3747653.54411592	0.193661
Acidibrevibacterium_fodinaquatile-_-KY777995--_G45-3_T	4259905.76616156	0.113011
Acidicaldus_organivorans-_-AY140238--_Y008_T	4259905.76616156	0.157261
Acidicapsa_acidiphila-_-KF017280--_MCF10_T	4719494.46121188	0.11236
Acidicapsa_acidisoli-_-LC027464--_SK-11_T	4719494.46121188	0.10455
Acidicapsa_borealis-_-FR774763--_KA1_=_DSM_23886_T	4719494.46121188	0.1093
Acidicapsa_dinghuensis-_-MF150300--_4GSKX_T	4719494.46121188	0.09381
Acidicapsa_ferrireducens-_-KC662255--_MCF9_T	4719494.46121188	0.10826
Acidicapsa_ligni-_-EU780204--_WH120_T	4719494.46121188	0.10654
Acididesulfobacillus_acetoxydans-_-NR_184592--_INE_/type_materialtype_strain_of_AcididesulfobacillusacetoxydansT	3878246.32284479	0.093311
Acidiferrimicrobium_australe-_-MF503098--_USS-CCA1_T	3901207.50470247	0.123732
Acidiferrobacter_thiooxydans-_-AF387301--_m-1-_DSM_2392_T	3747653.54411592	0.204681
Acidihalobacter_aeolianus-_-CP017448--_V6_T	3335352.2371183	0.10408
Acidihalobacter_ferrooxydans-_-CP019434--_V8_n_T	3335352.2371183	0.12349
Acidihalobacter_yilgarnensis-_-JQSG02000006--_DSM_5130_T	3335352.2371183	0.1104
Acidilobus_aceticus-_-AF191225--_Z-1904_T	1574520.70095403	0.02767
Acidiluteibacter_ferrifornacis-_-MN240441--_S-15_T	4318815.13115925	0.204682
Acidilutibacter_cellobiosedens-_-MN389521--_JN-28T	3612710.78101551	0.350331
Acidimangrovimonas_pyrenivorans-_-MF774691--_PrR001_T	4475635.81999513	0.10674
Acidimangrovimonas_sediminis-_-KX099618--_MS2-2_T	4475635.81999513	0.0928
Acidiphilium_acidophilum-_-D86511--_ATCC27807_T	4259905.76616156	0.18246
Acidiphilium_angustum-_-D30772--_ATCC_35903_T	4259905.76616156	0.17751
Acidiphilium_cryptum-_-D30773--_ATCC_33463_T	4259905.76616156	0.1463
Acidiphilium_iwatense-_-AB561883--_MS8_T	4259905.76616156	0.16729
Acidiphilium_multivorum-_-AB006711--_AIU_301_T	4259905.76616156	0.14701
Acidiphilium_organovorum-_-D30775--_ATCC_43141_T	4259905.76616156	0.14845
Acidiphilium_rubrum-_-D30776--_ATCC_35905_T	4259905.76616156	0.17751
Acidipila_rosea-_-AB561884--_AP8_T	5045116.8599481	0.069792
Acidiplasma_aeolicum-_-AM943980--_DSM_18409_=_JCM_14615_T	1741184.38145277	0.187691
Acidiplasma_cupricumulans-_-AY907888--_BH2_T	1741184.38145277	0.187651
Acidipropionibacterium_damnosum-_-JQ283461--_IGBL13_T	3311733.42313875	0.05836
Acidipropionibacterium_jensenii-_-AJ704571--_DSM_20535_T	3311733.42313875	0.08586
Acidipropionibacterium_microaerophilum-_-AF234623--_M5_T	3311733.42313875	0.05627
Acidipropionibacterium_olivae-_-JQ283460--_IGBL1_T	3311733.42313875	0.05692
Acidipropionibacterium_thoenii-_-AJ704572--_NCFB_568_T	3311733.42313875	0.08721
Acidipropionibacterium_virtanenii-_-MG596783--_JS278_T	3311733.42313875	0.04086
Acidisarcina_polymorpha-_-MH396772--_SBC82T	5045116.8599481	0.075212
Acidisoma_cellulosilyticum-_-MW463051--_HW_T5.17_T	4259905.76616156	0.14201
Acidisoma_sibiricum-_-AM947653--_TPB606_T	4259905.76616156	0.13885
Acidisoma_silvae-_-MW463052--_HW_T2.11_T	4259905.76616156	0.13154
Acidisoma_tundrae-_-AM947652--_WM1_T	4259905.76616156	0.13312
Acidisphaera_rubrifaciens-_-D86512--_HS-AP3_T	4259905.76616156	0.099361
Aciditerrimonas_ferrireducens-_-AB517669--_IC-180_T	3901207.50470247	0.104042
Acidithiobacillus_albertensis-_-KF537578--_DSM_14366_T	3045722.5365213	0.03348
Acidithiobacillus_ferrianus-_-MN733279--_MG_T	3045722.5365213	0.01814
Acidithiobacillus_ferridurans-_-AJ278719--_ATCC33020_T	3045722.5365213	0.01841
Acidithiobacillus_ferriphilus-_-KR905751--_M20_T	3045722.5365213	0.01702
Acidithiobacillus_ferrivorans-_-AF376020--_NO-37_T	3045722.5365213	0.02233
Acidithiobacillus_sulfuriphilus-_-MK193868--_CJ-2_T	3045722.5365213	0.03699
Acidithiobacillus_thiooxidans-_-AFOH01000120--_ATCC_19377_T	3045722.5365213	0.03209
Acidithrix_ferrooxidans-_-KC208497--_Py-F3T	3901207.50470247	0.122482
Acidobacterium_ailaaui-_-KX306477--_PMMR2_T	5045116.8599481	0.038792
Acidocella_aluminiidurans-_-AB362219--_AL46_T	4259905.76616156	0.17558
Acidocella_aminolytica-_-D30771--_101_T	4259905.76616156	0.1807
Acidocella_aquatica-_-LC199502--_OK2G_T	4259905.76616156	0.15871
Acidocella_aromatica-_-KC590088--_PFBC_T	4259905.76616156	0.1869
Acidocella_facilis-_-D30774--_ATCC_35904_T	4259905.76616156	0.17703
Acidomonas_methanolica-_-X77468--_LMG_1668_T	3539089.04882405	0.059232
Acidovorax_anthurii-_-AJ007013--_CFBP_3232_LTP__T	4422688.49095947	0.09074
Acidovorax_avenae-_-AF137505--_ICMP_3183_T	4422688.49095947	0.05342
Acidovorax_caeni-_-AM084006--_R-24608_T	4422688.49095947	0.04358
Acidovorax_cattleyae-_-AF137504--_ICMP_2826_T	4422688.49095947	0.05411
Acidovorax_citrulli-_-AF137506--_ICMP_7500_T	4422688.49095947	0.05341
Acidovorax_defluvii-_-Y18616--_BSB411_T	4422688.49095947	0.01117
Acidovorax_delafieldii-_-AF078764--_ATCC_17505_T	4422688.49095947	0.02947
Acidovorax_facilis-_-AF078765--_CCUG_2113_T	4580997.38418394	0.03156
Acidovorax_kalamii-_-KY425604--_KNDSW-TSA6_T	4422688.49095947	0.03931
Acidovorax_lacteus-_-KY287949--_M36_T	4422688.49095947	0.09664
Acidovorax_monticola-_-KY313411--_K-4-16_T	4422688.49095947	0.09499
Acidovorax_oryzae-_-DQ360414--_FC-143_T	4422688.49095947	0.05271
Acidovorax_radicis-_-HM027578--_N35_T	4422688.49095947	0.01189
Acidovorax_soli-_-FJ599672--_BL21_T	4422688.49095947	0.04082
Acidovorax_temperans-_-AF078766--_CCUG_11779_T	4422688.49095947	0.04147
Acidovorax_valerianellae-_-AJ431731--_CFBP_4730_T	4422688.49095947	0.05414
Acidovorax_wautersii-_-JQ946365--_NF1078_T	4422688.49095947	0.0415
Acinetobacter_albensis-_-KR611794--_ANC_3931_T	3114480.08158675	0.03422
Acinetobacter_amyesii-_-ON598627--_ANC5579T	3114480.08158675	0.04485
Acinetobacter_apis-_-JX402203--_HYN18_T	3209889.44668639	0.06442
Acinetobacter_baretiae-_-MN709041--_B10A_T	3209889.44668639	0.07373
Acinetobacter_baylyi-_-APPT01000006--_CIP_107474_T	3518028.51128498	0.05398
Acinetobacter_beijerinckii-_-AJ626712--_NIPH_838_=_LUH_4759_T	3540954.59841387	0.05805
Acinetobacter_bereziniae-_-APQG01000050--_CIP_70.12_T	3540954.59841387	0.07709
Acinetobacter_bohemicus-_-KF679797--_ANC_3994_T	3114480.08158675	0.05963
Acinetobacter_boissieri-_-JQ771141--_SAP_284.1_T	3209889.44668639	0.07007
Acinetobacter_bouvetii-_-APQD01000004--_CIP_107468_T	3540954.59841387	0.0624
Acinetobacter_brisouii-_-DQ832256--_5YN5-8_T	3540954.59841387	0.06608
Acinetobacter_calcoaceticus-_-AJ888983--_NCCB_22016_T	3540954.59841387	0.01416
Acinetobacter_celticus-_-KX548337--_ANC_3831_T	3114480.08158675	0.05981
Acinetobacter_chengduensis-_-MK796535--_WCHAc060005_T	3540954.59841387	0.08067
Acinetobacter_chinensis-_-CP032134--_WCHAc010005_T	3540954.59841387	0.06029
Acinetobacter_courvalinii-_-KT997472--_ANC_3623_T	3518028.51128498	0.03981
Acinetobacter_cumulans-_-CP035934--_WCHAc060092_T	3540954.59841387	0.07219
Acinetobacter_defluvii-_-KY435933--_WCHA30_T	3540954.59841387	0.08835
Acinetobacter_dispersus-_-KT997473--_ANC_4105_T	3540954.59841387	0.08338
Acinetobacter_entericus-_-OP713786--_BIT-DXN8_/type_materialtype_strain_of_Acinetobacter_entericusT	3540954.59841387	0.07241
Acinetobacter_gandensis-_-KM206131--_UG_60467_T	3540954.59841387	0.09571
Acinetobacter_geminorum-_-MT380471--_J000019T	3540954.59841387	0.01554
Acinetobacter_gerneri-_-APPN01000046--_CIP_107464_T	3518028.51128498	0.05045
Acinetobacter_guerrae-_-KX870878--_AC_1271_T	3540954.59841387	0.08117
Acinetobacter_guillouiae-_-APOS01000028--_CIP_63.46_T	3540954.59841387	0.06803
Acinetobacter_gyllenbergii-_-AJ293694--_RUH_422_=_NIPH_2150_=_ACI_651_T	3540954.59841387	0.05256
Acinetobacter_haemolyticus-_-APQQ01000002--_CIP_64.3_T	3540954.59841387	0.05188
Acinetobacter_halotolerans-_-KT032155--_R160_T	3518028.51128498	0.03991
Acinetobacter_harbinensis-_-KC843488--_HITLi_7_T	3114480.08158675	0.03943
Acinetobacter_ihumii-_-LR031292--_Marseille-P8049T	3540954.59841387	0.10314
Acinetobacter_indicus-_-JQ608323--_1NM-4_T	3209889.44668639	0.07562
Acinetobacter_johnsonii-_-APON01000041--_CIP_64.6_T	3540954.59841387	0.05395
Acinetobacter_kanungonis-_-MW114828--_PS-1_T	3540954.59841387	0.07086
Acinetobacter_kookii-_-JX137279--_11-0202_T	3114480.08158675	0.04104
Acinetobacter_lactucae-_-KU921101--_NRRL_B-41902_T	3540954.59841387	0.02809
Acinetobacter_lanii-_-MK990276--_185__T	3114480.08158675	0.02445
Acinetobacter_larvae-_-KU560468--_BRTC-1_T	3540954.59841387	0.08503
Acinetobacter_lwoffii-_-APQS01000019--_CIP_64.10_T	3114480.08158675	0.06637
Acinetobacter_modestus-_-KT997474--_NIPH_236_T	3540954.59841387	0.01395
Acinetobacter_nectaris-_-JQ771132--_SAP_763.2_T	3209889.44668639	0.06583
Acinetobacter_nematophilus-_-OP818110--_A-IN1_/type_materialtype_strain_of_Acinetobacter_nematophilusT	3540954.59841387	0.07808
Acinetobacter_parvus-_-AIEB01000124--_DSM_16617_T	3540954.59841387	0.0792
Acinetobacter_piscicola-_-MF062566--_LW15_T	3540954.59841387	0.06374
Acinetobacter_pittii-_-HQ180184--_LMG_1035_T	3540954.59841387	0.01487
Acinetobacter_pollinis-_-MN701878--_SCC77_T	3209889.44668639	0.06665
Acinetobacter_populi-_-KM518626--_PBJ7_T	3518028.51128498	0.03148
Acinetobacter_portensis-_-KX870877--_AC_877_T	3540954.59841387	0.06268
Acinetobacter_pragensis-_-KX014586--_ANC_4149_T	3114480.08158675	0.03359
Acinetobacter_proteolyticus-_-KT997475--_NIPH_809_T	3540954.59841387	0.05043
Acinetobacter_pseudolwoffii-_-PHRG01000000--_ANC_5044_T	3114480.08158675	0.051
Acinetobacter_puyangensis-_-JN664255--_BQ4-1_T	3518028.51128498	0.05041
Acinetobacter_qingfengensis-_-JX982123--_2BJ1_T	3540954.59841387	0.11167
Acinetobacter_radioresistens-_-BAGY01000082--_NBRC_102413_T	3209889.44668639	0.04264
Acinetobacter_rathckeae-_-MN701873--_EC24_T	3209889.44668639	0.0692
Acinetobacter_rudis-_-EF204258--_G30_T	3540954.59841387	0.07594
Acinetobacter_schindleri-_-APPQ01000011--_CIP_107287_T	3114480.08158675	0.05254
Acinetobacter_sedimenti-_-MW282900--_A3.8T	3540954.59841387	0.07148
Acinetobacter_seifertii-_-FJ860878--_LUH_1472_T	3540954.59841387	0.00785
Acinetobacter_shaoyimingii-_-MT138534--_323-1__T	3114480.08158675	0.03213
Acinetobacter_sichuanensis-_-MH179327--_WCHAc060041_T	3540954.59841387	0.05888
Acinetobacter_silvestris-_-OM630156--_ANC_4999_T	3114480.08158675	0.04553
Acinetobacter_soli-_-EU290155--_B1_T	3518028.51128498	0.05052
Acinetobacter_stercoris-_-MT138756--_KPC-SM-21_T	3518028.51128498	0.03504
Acinetobacter_tandoii-_-HE651929--_DSM_14970_T	3540954.59841387	0.07158
Acinetobacter_terrae-_-JABERI010000001--_ANC_4282_T	3114480.08158675	0.02584
Acinetobacter_terrestris-_-SJNZ01000001--_ANC_4471_T	3114480.08158675	0.02654
Acinetobacter_tibetensis-_-ON138910--_Y-23T	3540954.59841387	0.04886
Acinetobacter_tjernbergiae-_-HE651928--_DSM_14971_T	3540954.59841387	0.06944
Acinetobacter_towneri-_-APPY01000064--_CIP_107472_T	3209889.44668639	0.07147
Acinetobacter_ursingii-_-APQA01000026--_CIP_107286_T	3540954.59841387	0.08154
Acinetobacter_variabilis-_-KP278590--_NIPH_2171_T	3209889.44668639	0.05103
Acinetobacter_venetianus-_-AJ295007--_ATCC_31012_T	3540954.59841387	0.04202
Acinetobacter_vivianii-_-KT997477--_NIPH_2168_T	3518028.51128498	0.03633
Acinetobacter_wanghuae-_-MK226441--_dk386__T	3114480.08158675	0.05044
Acinetobacter_wuhouensis-_-KY853661--_WCHA60_T	3540954.59841387	0.07989
Acrocarpospora_catenulata-_-MZ182294--_H8750T	6574302.99259759	0.10405
Acrocarpospora_corrugata-_-AB188150--_NBRC_13972T_T	6574302.99259759	0.09054
Acrocarpospora_macrocephala-_-AB025318--_IFO_16266_T	6574302.99259759	0.10906
Acrocarpospora_phusangensis-_-AB649124--_PS33-18_T	6574302.99259759	0.10758
Acrocarpospora_pleiomorpha-_-AB006174--_R-31_T	6574302.99259759	0.11258
Actibacter_haliotis-_-KC193210--_W113_T	3808812.46993224	0.14848
Actibacter_sediminis-_-EF670651--_JC2129_T	3808812.46993224	0.14522
Actibacterium_atlanticum-_-KJ159064--_22II-S11-z10_T	4350404.78754511	0.13762
Actibacterium_lipolyticum-_-KJ889015--_SSK1-4_T	4475635.81999513	0.12561
Actibacterium_mucosum-_-HE590855--_CECT_7668_T	4350404.78754511	0.14428
Actibacterium_naphthalenivorans-_-KP272155--_NS6_T	4475635.81999513	0.13956
Actibacterium_pelagium-_-KY273602--_JN33_T	4350404.78754511	0.12425
Actibacterium_ureilyticum-_-KP162062--_LS-811_T	4350404.78754511	0.14565
Actimicrobium_antarcticum-_-HQ699437--_KOPRI_25157__T	4656626.18146779	0.058171
Actinoallomurus_acaciae-_-EU429322--_GMKU_931_T	6574302.99259759	0.14154
Actinoallomurus_acanthiterrae-_-JQ085862--_2614A723_T	6574302.99259759	0.15067
Actinoallomurus_amamiensis-_-AB364583--_TT00-28_-=_NBRC_103682-_T	6574302.99259759	0.14084
Actinoallomurus_bryophytorum-_-KJ425409--_NEAU-TX1-15_T	6574302.99259759	0.1529
Actinoallomurus_caesius-_-AB364589--_A3015_-=_NBRC_103678-_T	6574302.99259759	0.14224
Actinoallomurus_coprocola-_-AB364579--_TT04-09_-=_NBRC_103688-_T	6574302.99259759	0.13729
Actinoallomurus_fulvus-_-AB364582--_TT99-66_-=_NBRC_103680-_T	6574302.99259759	0.14154
Actinoallomurus_iriomotensis-_-AB364586--_TT02-47_-=_NBRC_103685-_T	6574302.99259759	0.13657
Actinoallomurus_liliacearum-_-AB668306--_K10-0485_T	6574302.99259759	0.17124
Actinoallomurus_luridus-_-AB364585--_TT02-15_-=_NBRC_103683-_T	6574302.99259759	0.16908
Actinoallomurus_oryzae-_-EU420071--_GMKU_370_T	6574302.99259759	0.14011
Actinoallomurus_purpureus-_-AB364588--_TTN02-30_-=_NBRC_103687-_T	6574302.99259759	0.15916
Actinoallomurus_radicium-_-AB578855--_K08-0182_T	6574302.99259759	0.15359
Actinoallomurus_spadix-_-AJ293712--_IMSNU_20015T_T	6574302.99259759	0.15562
Actinoallomurus_vinaceus-_-AB668307--_K10-0528_T	6574302.99259759	0.14955
Actinoallomurus_yoronensis-_-AB364584--_TTN02-22_-=_NBRC_103686-_T	6574302.99259759	0.1529
Actinoalloteichus_cyanogriseus-_-HG917901--_DSM_40103_T	7934167.06635122	0.0554
Actinoalloteichus_nanshanensis-_-GQ926935--_NEAU_119_T	7934167.06635122	0.01851
Actinoalloteichus_spitiensis-_-AY426714--_MTCC_6194_T	7934167.06635122	0.05398
Actinobacillus_anseriformium-_-AY172727--_F66_T	2492877.81931975	0.09543
Actinobacillus_arthritidis-_-L06084--_CCUG_24862_LTP__T	2492877.81931975	0.02588
Actinobacillus_capsulatus-_-AY362886--_CCUG_12396_T	2492877.81931975	0.07897
Actinobacillus_delphinicola-_-AY362889--_NCTC_12870_T	2399495.92973386	0.1189
Actinobacillus_equuli_subsp._haemolyticus-_-AF247716--_F_154_T	2497985.78154827	0.00637
Actinobacillus_hominis-_-AY362890--_NCTC_11529_T	2497985.78154827	0.00589
Actinobacillus_indolicus-_-AY362891--_46KC2_T	2492877.81931975	0.03995
Actinobacillus_lignieresii-_-AY362892--_NCTC_4189_T	2492877.81931975	0.06539
Actinobacillus_minor-_-ACQL01000137--_NM305_T	2492877.81931975	0.05542
Actinobacillus_pleuropneumoniae-_-CP029003--_4074_T	2492877.81931975	0.04123
Actinobacillus_porcinus-_-U65583--_NM319_T	2492877.81931975	0.06054
Actinobacillus_rossii-_-AY362895--_ATCC_27072_T	2492877.81931975	0.06415
Actinobacillus_scotiae-_-Y09653--_M2000/95/1-_CIP_105697-_NCTC_12922_T	2399495.92973386	0.12501
Actinobacillus_seminis-_-AY362897--_CCUG_27187_T	2306437.42188779	0.10548
Actinobacillus_ureae-_-AEVG01000167--_ATCC_25976_T	2492877.81931975	0.02448
Actinobacillus_vicugnae-_-HF565190--_W1618__BCCM_T	2492877.81931975	0.06984
Actinobaculum_massiliense-_-AF487679--_CIP_107404_T	2409734.12447433	0.10948
Actinobaculum_suis-_-S83623--_DSM_20639_T	2409734.12447433	0.12191
Actinocatenispora_comari-_-LC603167--_NUM-2625_T	6035117.28344034	0.11435
Actinocatenispora_rupis-_-AM980986--_CS5-AC17_T	6035117.28344034	0.09753
Actinocatenispora_sera-_-AB263096--_KV-744_T	6035117.28344034	0.11647
Actinocatenispora_thailandica-_-AB107233--_TT2-10_T	6035117.28344034	0.11435
Actinocorallia_aurantiaca-_-AJ293701--_IMSNU_22193T_T	6574302.99259759	0.17462
Actinocorallia_aurea-_-AB006177--_NBRC_14752_-=_IFO_14752-_T	6574302.99259759	0.14468
